483268,united kingdom
720003,united states
38238,sweden
149880,united kingdom
637018,united states
583718,israel
736324,spain
256275,united kingdom
545056,australia
528466,united states
373487,united states
440327,united states
611122,japan
344644,united states
492730,org. of petroleum exporting countries
485067,united states
674146,italy
739482,india
278215,united states
154646,united states
412303,japan
777209,united kingdom
319517,united kingdom
318940,europe
744154,united kingdom
235389,italy
589082,united states
584341,europe
181078,south korea
282436,pakistan
703770,philippines
59774,china
161049,australia
548865,united nations
806924,germany
308539,mexico
269328,czech republic
604388,united states
148246,united kingdom
75048,russia
391899,united kingdom
800829,finland
459645,united states
729290,north korea
637256,united states
164760,germany
684256,spain
684649,japan
477412,turkey
158951,hong kong
186609,bangladesh
31203,united states
471918,vietnam
440935,belgium
705426,india
76058,pakistan
585960,hungary
254192,germany
541287,france
680353,united states
638703,thailand
374216,philippines
361947,germany
252329,united nations
678564,pakistan
113029,australia
408059,united states
482828,united kingdom
583331,united states
282837,australia
689223,cyprus
613722,brazil
25177,developing countries
310205,united kingdom
483669,india
796597,united states
324109,united kingdom
648717,germany
766563,united states
235530,australia
801008,china
515920,united states
521520,united states
96840,india
712471,greece
779714,united states
173701,united states
498376,japan
13522,hong kong
130166,south africa
542377,canada
293009,north atlantic treaty organisation
293061,united kingdom
150131,slovenia
761725,united states
3774,united states
642650,uganda
587174,united states
419317,australia
346808,united states
447642,india
253720,australia
752244,united kingdom
27071,poland
478236,united states
112412,united states
579404,united states
180110,australia
31468,greece
180016,argentina
637949,united states
525503,united states
509005,albania
101453,finland
490462,united states
197962,greece
437983,hong kong
330103,yugoslavia
694001,hong kong
519416,europe
56558,europe
298905,georgia
297587,kuwait
323712,united states
419741,germany
610579,japan
791172,colombia
807171,united kingdom
366789,ecuador
651555,singapore
467423,belgium
170929,portugal
713863,united states
544136,united states
674842,singapore
738625,uganda
49350,singapore
620633,united states
32148,united states
230028,china
511775,japan
739240,united states
38872,malaysia
79805,sweden
736812,united states
438088,philippines
624030,united states
507655,united states
478573,germany
457565,europe
512041,europe
367289,sri lanka
122117,turkey
134948,italy
584536,japan
433900,netherlands
376397,finland
293692,canada
801728,south africa
309871,united states
242603,united states
246062,russia
49601,united states
419853,russia
462494,greece
29239,romania
25955,south korea
16686,united states
420884,belarus
784107,united states
154600,united states
18671,united states
390974,ecuador
392739,united states
430514,united states
589408,spain
69005,denmark
658386,thailand
699685,united kingdom
476790,thailand
639018,united states
64717,switzerland
392417,indonesia
628610,democratic republic of the congo
85014,australia
709473,united states
238094,united kingdom
167657,germany
84969,brazil
656976,netherlands
693883,japan
594561,colombia
234994,australia
206771,united states
787862,morocco
553755,united states
732325,iran
421061,south korea
335517,united states
554562,united states
626750,pakistan
640582,india
717731,united kingdom
581241,greece
457279,gulf states
325959,united states
257263,macedonia
480704,japan
429988,south africa
605000,poland
137960,france
231740,sweden
251183,united states
160261,ireland
630072,united kingdom
308058,czech republic
282214,united states
195411,israel
102560,united states
547438,italy
651168,europe
638412,australia
353124,united states
567017,united states
424390,india
480375,taiwan
540932,japan
470266,united states
755428,united states
187287,australia
594621,peru
315073,united states
605244,japan
113791,ecuador
21203,south africa
245805,canada
441902,united states
563342,united states
91350,united states
533366,ireland
210608,united states
583547,hong kong
281440,poland
85762,united states
375959,norway
772537,malaysia
66992,china
546727,japan
76133,united states
252299,united states
336143,china
627141,egypt
121513,united states
124286,argentina
136271,united kingdom
104663,united states
139565,united states
191148,united states
116335,united states
672533,czech republic
671108,united states
791617,united states
354707,india
117550,italy
416221,hong kong
618471,japan
364035,france
383069,australia
103143,united states
473736,south korea
642413,iran
619860,macedonia
645251,singapore
10529,netherlands
140023,ukraine
366623,romania
291681,germany
605924,europe
547787,united states
370368,germany
403447,united states
474851,japan
440361,russia
807857,latvia
190062,burundi
258486,colombia
434067,sri lanka
557167,ireland
212669,united states
169851,united states
150273,brazil
654405,united states
752638,ecuador
805960,united states
385628,morocco
445326,pakistan
746624,united states
732474,united states
34167,nigeria
556555,united states
614884,japan
313417,france
769925,india
368193,cambodia (kampuchea)
719785,netherlands
179689,united kingdom
38701,thailand
474953,japan
331800,united states
284180,canada
59734,australia
43785,china
729670,italy
652401,latvia
653870,india
463357,japan
28360,israel
53857,argentina
663359,china
642493,latvia
280390,mexico
739017,south korea
504199,japan
582079,poland
766666,united states
31273,japan
242240,australia
477071,united states
549827,united kingdom
615202,japan
685249,united states
435359,united states
666775,hong kong
488786,group of seven
479462,india
603557,japan
544071,united states
417841,united states
467982,philippines
493042,hong kong
770466,japan
126854,united states
665192,hong kong
341172,germany
627190,europe
382421,pakistan
327019,united states
801508,namibia
551278,united states
51489,philippines
442064,united kingdom
136598,brazil
422573,switzerland
651841,philippines
260766,united kingdom
418632,united states
802327,singapore
157992,germany
351596,finland
404044,russia
346522,albania
66875,mexico
687059,united kingdom
231732,netherlands
284176,united kingdom
645182,united kingdom
94520,argentina
617349,india
185508,france
645400,sri lanka
795376,canada
550152,czech republic
485718,europe
608061,netherlands
605432,united states
306788,united states
367345,united states
226032,australia
7516,sweden
414087,australia
61399,israel
773911,belgium
448658,myanmar (burma)
315751,united states
45472,united states
516408,united states
290575,south africa
141453,france
238646,australia
805452,brazil
619721,turkmenistan
413590,egypt
691110,china
